Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
xi,"('eleven', '11', 'xi')",Polysemy,being one more than ten,eleven.s.01
ground,"('ground',)",Not a Polysemy,a position to be won or defended in battle (or as if in battle),ground.n.05
initial,"('initial',)",Not a Polysemy,the first letter of a word (especially a person's name),initial.n.01
invite,"('receive', 'take_in', 'invite')",Polysemy,express willingness to have in one's home or environs,receive.v.05
reparation,"('repair', 'fix', 'fixing', 'fixture', 'mend', 'mending', 'reparation')",Polysemy,the act of putting something in working order again,repair.n.01
drowning,"('submerge', 'drown', 'overwhelm')",Polysemy,cover completely or make imperceptible,submerge.v.02
assume,"('assume', 'adopt', 'take_on', 'take_over')",Polysemy,"take on titles, offices, duties, responsibilities",assume.v.02
driving,"('tug', 'labor', 'labour', 'push', 'drive')",Polysemy,strive and make an effort to reach a goal,tug.v.02
drop,"('shed', 'cast', 'cast_off', 'shake_off', 'throw', 'throw_off', 'throw_away', 'drop')",Polysemy,get rid of,shed.v.01
compromise,"('compromise',)",Not a Polysemy,make a compromise; arrive at a compromise,compromise.v.01
relaxation,"('rest', 'ease', 'repose', 'relaxation')",Polysemy,freedom from activity (work or strain or responsibility),rest.n.02
wear,"('tire', 'wear_upon', 'tire_out', 'wear', 'weary', 'jade', 'wear_out', 'outwear', 'wear_down', 'fag_out', 'fag', 'fatigue')",Polysemy,exhaust or get tired through overuse or great strain or stress,tire.v.02
initiate,"('initiate', 'learned_person', 'pundit', 'savant')",Polysemy,someone who has been admitted to membership in a scholarly field,initiate.n.02
planet,"('satellite', 'planet')",Polysemy,a person who follows or serves another,satellite.n.02
lead,"('leash', 'tether', 'lead')",Polysemy,restraint consisting of a rope (or light chain) used to restrain an animal,leash.n.01
crashed,"('crash',)",Not a Polysemy,make a sudden loud sound,crash.v.07
stay,"('stay',)",Not a Polysemy,remain behind,stay.v.05
lost,"('bemused', 'deep_in_thought', 'lost', 'preoccupied')",Polysemy,deeply absorbed in thought,bemused.s.01
capacity,"('capacitance', 'electrical_capacity', 'capacity')",Polysemy,an electrical phenomenon whereby an electric charge is stored,capacitance.n.01
landed,"('land', 'set_down')",Polysemy,reach or come to rest,land.v.01
dominated,"('overshadow', 'dominate', 'eclipse')",Polysemy,be greater in significance than,overshadow.v.01
doubt,"('doubt',)",Not a Polysemy,consider unlikely or have doubts about,doubt.v.01
oil,"('oil',)",Not a Polysemy,"cover with oil, as if by rubbing",oil.v.01
fail,"('fail', 'run_out', 'give_out')",Polysemy,prove insufficient,fail.v.10
palestine,"('Palestine',)",Not a Polysemy,a former British mandate on the east coast of the Mediterranean; divided between Jordan and Israel in 1948,palestine.n.01
weighs,"('weigh',)",Not a Polysemy,have a certain weight,weigh.v.01
split,"('burst', 'split', 'break_open')",Polysemy,"come open suddenly and violently, as if from internal pressure",burst.v.01
eritrean,"('Eritrean',)",Not a Polysemy,a native or inhabitant of Eritrea,eritrean.n.01
sick,"('sick',)",Not a Polysemy,deeply affected by a strong feeling,sick.s.06
biggest,"('adult', 'big', 'full-grown', 'fully_grown', 'grown', 'grownup')",Polysemy,(of animals) fully developed,adult.s.01
oppose,"('react', 'oppose')",Polysemy,act against or in opposition to,react.v.02
translation,"('transformation', 'translation')",Polysemy,the act of changing in form or shape or appearance,transformation.n.05
pump,"('pump',)",Not a Polysemy,move up and down,pump.v.06
event,"('event',)",Not a Polysemy,a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory,event.n.03
mark,"('score', 'mark')",Polysemy,make underscoring marks,score.v.03
g,"('deoxyguanosine_monophosphate', 'G')",Polysemy,one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose),deoxyguanosine_monophosphate.n.01
keeps,"('hold', 'keep')",Polysemy,a cell in a jail or prison,hold.n.07
programming,"('program', 'programme')",Polysemy,arrange a program of or for,program.v.01
response,"('response',)",Not a Polysemy,a phrase recited or sung by the congregation following a versicle by the priest or minister,response.n.05
republic,"('republic',)",Not a Polysemy,a form of government whose head of state is not a monarch,republic.n.02
desperate,"('desperate',)",Not a Polysemy,showing extreme urgency or intensity especially because of great need or desire,desperate.s.05
collapse,"('collapse', 'fall_in', 'cave_in', 'give', 'give_way', 'break', 'founder')",Polysemy,"break down, literally or metaphorically",collapse.v.01
covering,"('cover', 'wrap_up')",Polysemy,"clothe, as if for protection from the elements",cover.v.26
set,"('sic', 'set')",Polysemy,urge to attack someone,sic.v.01
present,"('present',)",Not a Polysemy,"formally present a debutante, a representative of a country, etc.",present.v.12
mistakes,"('mistake', 'misidentify')",Polysemy,identify incorrectly,mistake.v.01
seeing,"('watch', 'view', 'see', 'catch', 'take_in')",Polysemy,see or watch,watch.v.03
troll,"('troll',)",Not a Polysemy,"circulate, move around",troll.v.01
altered,"('change', 'alter', 'vary')",Polysemy,"become different in some particular way, without permanently losing one's or its former characteristics or essence",change.v.03
securing,"('batten', 'batten_down', 'secure')",Polysemy,furnish with battens,batten.v.01
gone,"('go',)",Not a Polysemy,"pass, fare, or elapse; of a certain state of affairs or action",go.v.16
contends,"('contend', 'postulate')",Polysemy,maintain or assert,contend.v.01
secure,"('impregnable', 'inviolable', 'secure', 'strong', 'unassailable', 'unattackable')",Polysemy,immune to attack; incapable of being tampered with,impregnable.s.01
urge,"('cheer', 'root_on', 'inspire', 'urge', 'barrack', 'urge_on', 'exhort', 'pep_up')",Polysemy,spur on or encourage especially by cheers and shouts,cheer.v.05
disrupted,"('disrupted',)",Not a Polysemy,marked by breaks or gaps,disrupted.s.01
vivid,"('graphic', 'lifelike', 'pictorial', 'vivid')",Polysemy,evoking lifelike images within the mind,graphic.s.05
japan,"('Japan', 'Japanese_Islands', 'Japanese_Archipelago')",Polysemy,"a string of more than 3,000 islands to the east of Asia extending 1,300 miles between the Sea of Japan and the western Pacific Ocean",japan.n.01
mental,"('mental',)",Not a Polysemy,involving the mind or an intellectual process,mental.a.01
expect,"('expect',)",Not a Polysemy,look forward to the birth of a child,expect.v.05
escaping,"('scat', 'run', 'scarper', 'turn_tail', 'lam', 'run_away', 'hightail_it', 'bunk', 'head_for_the_hills', 'take_to_the_woods', 'escape', 'fly_the_coop', 'break_away')",Polysemy,flee; take to one's heels; cut and run,scat.v.01
master,"('chief', 'main', 'primary', 'principal', 'master')",Polysemy,most important element,chief.s.01
grit,"('grit',)",Not a Polysemy,clench together,grit.v.02
full,"('entire', 'full', 'total')",Polysemy,constituting the full quantity or extent; complete,entire.s.01
coat,"('coat',)",Not a Polysemy,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,coat.n.01
final,"('final',)",Not a Polysemy,the final match between the winners of all previous matches in an elimination tournament,final.n.01
repulsed,"('repel', 'repulse')",Polysemy,be repellent to; cause aversion in,repel.v.02
intention,"('intention',)",Not a Polysemy,an act of intending; a volition that you intend to carry out,intention.n.03
heavyweight,"('heavyweight',)",Not a Polysemy,a wrestler who weighs more than 214 pounds,heavyweight.n.02
charge,"('charge', 'level', 'point')",Polysemy,direct into a position for use,charge.v.17
experience,"('feel', 'experience')",Polysemy,undergo an emotional sensation or be in a particular state of mind,feel.v.01
water,"('water', 'H2O')",Polysemy,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,water.n.01
strongest,"('strong', 'warm')",Polysemy,freshly made or left,strong.s.09
cold,"('cold',)",Not a Polysemy,extended meanings; especially of psychological coldness; without human warmth or emotion,cold.a.02
lip,"('lip',)",Not a Polysemy,either the outer margin or the inner margin of the aperture of a gastropod's shell,lip.n.05
scene,"('picture', 'scene')",Polysemy,a situation treated as an observable object,picture.n.04
fire,"('fire',)",Not a Polysemy,bake in a kiln so as to harden,fire.v.03
straight,"('straight',)",Not a Polysemy,having no deviations,straight.a.02
convoy,"('convoy',)",Not a Polysemy,the act of escorting while in transit,convoy.n.03
back,"('back', 'rear')",Polysemy,the part of something that is furthest from the normal viewer,back.n.03
step,"('step', 'tread')",Polysemy,"put down or press the foot, place the foot",step.v.02
adopt,"('assume', 'adopt', 'take_on', 'take_over')",Polysemy,"take on titles, offices, duties, responsibilities",assume.v.02
projected,"('project',)",Not a Polysemy,project on a screen,project.v.04
begin,"('begin',)",Not a Polysemy,"begin to speak, understand, read, and write a language",begin.v.10
leading,"('lead', 'take', 'direct', 'conduct', 'guide')",Polysemy,take somebody somewhere,lead.v.01
romania,"('Romania', 'Roumania', 'Rumania')",Polysemy,a republic in southeastern Europe with a short coastline on the Black Sea,romania.n.01
special,"('especial', 'exceptional', 'particular', 'special')",Polysemy,surpassing what is common or usual or expected,especial.s.01
walking,"('walk',)",Not a Polysemy,traverse or cover by walking,walk.v.04
pushchair,"('baby_buggy', 'baby_carriage', 'carriage', 'perambulator', 'pram', 'stroller', 'go-cart', 'pushchair', 'pusher')",Polysemy,a small vehicle with four wheels in which a baby or child is pushed around,baby_buggy.n.01
falling,"('fall',)",Not a Polysemy,"die, as in battle or in a hunt",fall.v.07
stain,"('stain', 'discoloration', 'discolouration')",Polysemy,a soiled or discolored appearance,stain.n.01
portable,"('portable',)",Not a Polysemy,easily or conveniently transported,portable.a.01
move,"('motivate', 'actuate', 'propel', 'move', 'prompt', 'incite')",Polysemy,give an incentive for action,motivate.v.01
linked,"('connect', 'link', 'tie', 'link_up')",Polysemy,"connect, fasten, or put together two or more pieces",connect.v.01
headquarters,"('headquarters', 'central_office', 'main_office', 'home_office', 'home_base')",Polysemy,(usually plural) the office that serves as the administrative center of an enterprise,headquarters.n.01
height,"('stature', 'height')",Polysemy,(of a standing person) the distance from head to foot,stature.n.02
years,"('year', 'twelvemonth', 'yr')",Polysemy,a period of time containing 365 (or 366) days,year.n.01
appeared,"('appear',)",Not a Polysemy,come into sight or view,appear.v.02
facility,"('adeptness', 'adroitness', 'deftness', 'facility', 'quickness')",Polysemy,skillful performance or ability without difficulty,adeptness.n.01
buzzing,"('buzz', 'bombinate', 'bombilate')",Polysemy,make a buzzing sound,buzz.v.01
confirms,"('confirm',)",Not a Polysemy,support a person for a position,confirm.v.04
cutting,"('edit', 'cut', 'edit_out')",Polysemy,cut and assemble the components of,edit.v.03
joining,"('join', 'conjoin')",Polysemy,make contact or come together,join.v.04
former,"('erstwhile', 'former', 'old', 'onetime', 'one-time', 'quondam', 'sometime')",Polysemy,belonging to some prior time,erstwhile.s.01
judge,"('judge', 'adjudicate', 'try')",Polysemy,put on trial or hear a case and sit as the judge at the trial of,judge.v.05
voice,"('voice',)",Not a Polysemy,a means or agency by which something is expressed or communicated,voice.n.05
close,"('stopping_point', 'finale', 'finis', 'finish', 'last', 'conclusion', 'close')",Polysemy,the temporal end; the concluding time,stopping_point.n.01
expert,"('technical', 'expert')",Polysemy,of or relating to or requiring special knowledge to be understood,technical.s.04
possibility,"('possibility', 'possible_action', 'opening')",Polysemy,a possible alternative,possibility.n.04
aim,"('aim', 'purpose', 'purport', 'propose')",Polysemy,propose or intend,aim.v.02
backed,"('back',)",Not a Polysemy,cause to travel backward,back.v.04
missiles,"('projectile', 'missile')",Polysemy,a weapon that is forcibly thrown or projected at a targets but is not self-propelled,projectile.n.01
survive,"('survive', 'pull_through', 'pull_round', 'come_through', 'make_it')",Polysemy,"continue in existence after (an adversity, etc.)",survive.v.02
edge,"('border', 'adjoin', 'edge', 'abut', 'march', 'butt', 'butt_against', 'butt_on')",Polysemy,lie adjacent to another or share a boundary,border.v.05
checked,"('check',)",Not a Polysemy,verify by consulting a source or authority,check.v.22
abusive,"('abusive', 'opprobrious', 'scurrilous')",Polysemy,expressing offensive reproach,abusive.s.01
schemes,"('outline', 'schema', 'scheme')",Polysemy,a schematic or preliminary plan,outline.n.03
